Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1739990888.869868,42.362591,-71.090138,6.338734,26.837677,-1.000000,-1.000000,0.800000
1739990917.210753,42.362591,-71.090138,6.338734,26.837677,-1.000000,-1.000000,0.800000
1739990917.211492,42.362610,-71.090051,6.339021,52.493819,-1.000000,-1.000000,0.800000
1739990917.211492,42.362610,-71.090051,6.339021,52.493819,-1.000000,-1.000000,0.800000
1739990917.735378,42.362624,-71.089904,4.240466,33.919410,-1.000000,-1.000000,0.800000
1739990923.751057,42.362631,-71.089878,3.752200,38.376543,-1.000000,-1.000000,0.800000
1739990953.627701,42.362332,-71.090429,7.920576,29.370247,-1.000000,-1.000000,0.800000
1739990964.112811,42.362321,-71.090482,7.920561,38.286332,-1.000000,-1.000000,0.800000
1739990965.423917,42.362321,-71.090482,5.251944,39.062954,-1.000000,-1.000000,0.800000
1739990970.121711,42.362320,-71.090487,5.251944,42.658353,-1.000000,-1.000000,0.800000
1739990970.614638,42.362204,-71.090616,8.267139,26.071163,-1.000000,-1.000000,0.800000
1739990976.629404,42.362212,-71.090630,8.267219,32.117000,-1.000000,-1.000000,0.800000
1739990984.991249,42.362085,-71.090980,18.287919,26.332753,-1.000000,-1.000000,0.800000
1739990985.623833,42.362067,-71.091010,18.128145,26.501564,-1.000000,-1.000000,0.800000
1739990991.012125,42.362051,-71.091043,18.127802,32.420322,-1.000000,-1.000000,0.800000
1739990991.929993,42.361933,-71.091282,18.492635,25.109022,-1.000000,-1.000000,0.800000
1739990997.943402,42.361921,-71.091305,18.492510,32.854265,-1.000000,-1.000000,0.800000
1739991004.438125,42.361906,-71.091335,24.278818,38.936492,-1.000000,-1.000000,0.800000
1739991004.983962,42.361873,-71.091410,23.238641,32.343139,-1.000000,-1.000000,0.800000
1739991010.996923,42.361861,-71.091433,23.238496,37.947507,-1.000000,-1.000000,0.800000
1739991011.411506,42.361810,-71.091507,14.762138,22.014956,-1.000000,-1.000000,0.800000
1739991017.427544,42.361805,-71.091519,22.423872,30.735018,-1.000000,-1.000000,0.800000
1739991018.155541,42.361743,-71.091640,6.228405,24.261569,-1.000000,-1.000000,0.800000
1739991024.169577,42.361739,-71.091648,6.228401,31.718360,-1.000000,-1.000000,0.800000
1739991024.735476,42.361706,-71.091757,4.464680,16.943875,-1.000000,-1.000000,0.800000
1739991030.748702,42.361705,-71.091759,4.464634,27.477753,-1.000000,-1.000000,0.800000
1739991031.332316,42.361627,-71.091902,5.088496,16.729974,-1.000000,-1.000000,0.800000
1739991037.348159,42.361627,-71.091901,5.073702,26.732293,-1.000000,-1.000000,0.800000
1739991041.621531,42.361592,-71.091937,5.197202,29.090276,-1.000000,-1.000000,0.800000
1739991047.643105,42.361558,-71.091971,5.197202,31.751505,-1.000000,-1.000000,0.800000
1739991058.930386,42.361470,-71.092083,16.990702,24.291332,-1.000000,-1.000000,0.800000
1739991060.419668,42.361420,-71.092242,4.089693,21.401326,-1.000000,-1.000000,0.800000
1739991061.124499,42.361425,-71.092229,3.837794,21.760392,-1.000000,-1.000000,0.800000
1739991067.037267,42.361401,-71.092397,12.552283,24.219304,-1.000000,-1.000000,0.800000
1739991075.938548,42.361396,-71.092404,13.127400,34.008995,-1.000000,-1.000000,0.800000
1739991078.985123,42.361391,-71.092443,13.046482,35.017647,-1.000000,-1.000000,0.800000
1739991087.698141,42.361361,-71.092498,12.551958,42.507808,-1.000000,-1.000000,0.800000
1739991093.459329,42.361089,-71.093036,9.647743,19.940750,-1.000000,-1.000000,0.800000
1739991093.809449,42.361095,-71.093018,9.361783,19.975465,-1.000000,-1.000000,0.800000
1739991097.015260,42.361078,-71.093053,8.630511,20.129929,-1.000000,-1.000000,0.800000
1739991107.776688,42.361056,-71.093102,8.630454,31.694385,-1.000000,-1.000000,0.800000
1739991113.964789,42.361050,-71.093115,8.630335,37.845830,-1.000000,-1.000000,0.800000
1739991114.476637,42.360961,-71.093309,12.400638,19.672131,-1.000000,-1.000000,0.800000
1739991126.135724,42.360744,-71.093714,17.347956,22.000000,-1.000000,-1.000000,0.800000
1739991130.048530,42.360888,-71.093442,15.683795,32.075110,-1.000000,-1.000000,0.800000
1739991130.591000,42.360746,-71.093621,14.509478,18.058720,-1.000000,-1.000000,0.800000
1739991142.227875,42.360681,-71.093829,14.249595,17.545689,-1.000000,-1.000000,0.800000
1739991142.477069,42.360682,-71.093824,13.354742,17.570997,-1.000000,-1.000000,0.800000
1739991144.667819,42.360676,-71.093844,13.362769,17.506509,-1.000000,-1.000000,0.800000
1739991152.837750,42.360674,-71.093848,13.362746,29.879789,-1.000000,-1.000000,0.800000
1739991153.332597,42.360552,-71.093965,13.661373,15.461304,250.312500,1.490000,0.800000
1739991154.332770,42.360500,-71.093995,2.546810,25.241183,218.671875,1.490000,0.800000
1739991156.027169,42.360449,-71.094031,3.436184,23.483084,245.039062,1.590000,0.800000
1739991164.994218,42.360458,-71.094243,4.195570,13.569934,-1.000000,-1.000000,0.800000
1739991166.538006,42.360437,-71.094278,4.255027,15.468001,-1.000000,-1.000000,0.800000
1739991166.911671,42.360436,-71.094278,4.255027,15.580796,-1.000000,-1.000000,0.800000
1739991173.300406,42.360383,-71.094431,3.420268,20.197379,-1.000000,-1.000000,0.800000
1739991173.517626,42.360379,-71.094447,3.362930,20.228882,-1.000000,-1.000000,0.800000
1739991184.288189,42.360343,-71.094495,3.361038,33.067011,-1.000000,-1.000000,0.800000